idx,incl,period_sec,dPdt_true,err_incl,err_period_sec,err_dPdt,cov_incl_incl,cov_incl_logP,cov_incl_dPdt,cov_logP_logP,cov_logP_dPdt,cov_dPdt_dPdt
871,88.76854806333972,6960.923936390531,-2.0567032967171981e-13,0.2162838273689128,8.644606007059674e-05,1.7502907344591879e-15,0.046778693981345675,-9.546074085445002e-12,-4.535529418856236e-17,1.5422565819208321e-16,7.660653095381667e-27,3.0635176551336833e-30
874,89.6990705701426,2148.803958158285,-1.6603599926557618e-12,0.029996883579597577,1.4280868924904753e-05,5.817173382553587e-17,0.0008998130244879307,-4.347730393210138e-14,9.984247565217341e-21,4.4168807648874265e-17,-2.072579474118904e-27,3.383950616268994e-33
887,86.88134065687537,1866.061957289448,-3.376333797068947e-12,1.0582434154415938,4.89467843683394e-05,1.0909324037735339e-16,1.1198791263254897,-7.869867449330197e-12,2.43194859255536e-18,6.880123160614775e-16,-1.0389052868597823e-25,1.1901335096031006e-32
900,89.24888781330417,3244.021918285421,-7.278226271588206e-13,0.011621449212595827,2.2525945454336323e-05,2.3464449747019006e-16,0.00013505808180094419,-1.8375131633730848e-13,2.668966996659235e-19,4.8216812474101214e-17,1.7659877756620354e-27,5.505804019303804e-32
917,89.2480527260535,1242.78036000392,-3.564276214005775e-12,0.028438564959155425,7.5670399189615415e-06,1.5621112075192642e-17,0.0008087519769361028,-1.3253030425228412e-13,2.1947114887041398e-20,3.707347429861098e-17,-5.863744846107041e-27,2.4401914246572935e-34
971,88.1162979870211,1558.5523284914204,-1.3709243143472753e-12,0.006921057410827402,3.0858124617682436e-06,9.226527037220773e-18,4.7901035683968897e-05,5.901916087072666e-15,1.0513147914983346e-21,3.9200921892146665e-18,-4.289589934097046e-31,8.512880116856595e-35
977,87.55427681474666,989.0878677737339,-5.414946208763181e-12,0.1567349891739667,6.779581900324708e-06,1.1959026688061745e-17,0.024565856831363458,-1.789948506923108e-14,-1.0206372033958416e-21,4.698249470922317e-17,-5.562294525797281e-28,1.4301831932577306e-34
995,89.56861288522545,7666.454014999908,-1.6884698720433875e-13,0.011575094190059393,4.808377744359619e-05,1.502003765217267e-15,0.00013398280550874672,-6.94624270285427e-14,-1.2108434870644462e-18,3.933762053356666e-17,-9.276178611348394e-28,2.256015310726847e-30
998,88.74264936061199,724.7132641401665,-4.896862097591245e-12,0.007097386884469116,1.0335466004566695e-06,8.429370450733539e-19,5.037290058783422e-05,1.9969445072792507e-15,-1.2320098224902162e-23,2.033891144650908e-18,7.634769154496109e-29,7.105428619569975e-37
1006,87.56532498552579,1882.862359151021,-2.1208176438050902e-12,1.166028839814425,2.1560150691711873e-05,7.538531027023892e-17,1.3596232552789738,-2.717999774046879e-12,3.6877686336584724e-19,1.3111924416902135e-16,-7.77350280684349e-27,5.6829450045401885e-33
