source_idx,r_mag_observed,distance_kpc,n_obs,err_co_latitude_rad,err_longitude_rad,err_distance_abs_kpc
854,22.36519000927126,3.0051321770516943,180,7.531815610788743e-09,7.531815610788743e-09,8.873638031730989
871,20.2775695381231,1.1792585752981064,170,3.7183511952522782e-09,3.7183511952522782e-09,0.6953253937070598
874,22.055870673423836,2.5494363933710447,177,5.791879939956808e-09,5.791879939956808e-09,5.381269977759923
887,20.37817271191359,0.9320294570355375,169,3.729336008534892e-09,3.729336008534892e-09,0.43433945439097943
900,21.153978186735664,1.2623868709889212,163,4.4109730645429645e-09,4.4109730645429645e-09,1.0052489296645792
917,20.29079637010587,0.9188886611819967,91,5.08222830542462e-09,5.08222830542462e-09,0.4221781858244212
971,23.286713820552713,7.957626427397141,164,1.64031986530723e-08,1.64031986530723e-08,167.05539914230442
977,22.224877352601098,1.6885311596969612,202,6.344045724294702e-09,6.344045724294702e-09,2.601488105708903
995,21.112151881516976,0.8289444578055313,213,3.803099890298743e-09,3.803099890298743e-09,0.4277023571962306
998,21.412123529452888,1.9130341533846424,166,4.759481531314843e-09,4.759481531314843e-09,2.497469472323427
1006,21.334689867412774,1.3011633466104013,101,5.952311873626457e-09,5.952311873626457e-09,1.1291433658829984
1040,23.218257440825226,2.3851938050522383,166,1.519643309343169e-08,1.519643309343169e-08,14.07391959929312
1072,19.349360030341426,0.7116003941333354,168,3.740418755132738e-09,3.740418755132738e-09,0.2531875604653592
1088,20.1056117189888,0.9745789038198769,53,6.6594280647245745e-09,6.6594280647245745e-09,0.47490201988537645
1108,19.442224063269883,0.5449295950755835,115,4.5209108873532846e-09,4.5209108873532846e-09,0.14847413179461968
1136,21.702194840154096,1.5906270263154352,169,5.14975781034601e-09,5.14975781034601e-09,1.8733804397941938
1150,22.48385316696584,2.0748202594530967,159,8.743761214038003e-09,8.743761214038003e-09,4.4853679823859345
1160,20.977100235986192,1.3598224988724699,172,3.6966696623445772e-09,3.6966696623445772e-09,0.9245586142198842
1162,18.491174019057716,0.4926326281245048,120,4.425723155513484e-09,4.425723155513484e-09,0.12134345314642833
1174,22.19116392770602,2.5504808942565353,196,6.253619583162326e-09,6.253619583162326e-09,5.825718396201484
1188,19.874768027935804,0.4473574536963276,153,3.919486305802224e-09,3.919486305802224e-09,0.10006434568883095
1194,20.503107227765483,0.46285408054297367,59,6.31173651722549e-09,6.31173651722549e-09,0.10711694993764077
1241,23.19902492647419,2.356578924404823,172,1.462331240658245e-08,1.462331240658245e-08,13.48192198521992
1252,20.851879146336476,2.6662415315130374,76,5.561194322111635e-09,5.561194322111635e-09,3.554421952182494
1278,20.97902743169414,1.9635976961329729,182,3.593678098303965e-09,3.593678098303965e-09,1.9278579561293594
1292,21.68001041617048,2.0201519863846915,67,8.126300832491834e-09,8.126300832491834e-09,3.0036348411048053
1301,20.754961140904534,3.228155283277444,182,3.593678098303965e-09,3.593678098303965e-09,5.210493266476036
1341,20.673627518649486,1.008425021744704,164,3.785758819696963e-09,3.785758819696963e-09,0.5084605122404033
1359,19.356030720463632,0.5572265545697389,184,3.574093875672324e-09,3.574093875672324e-09,0.1552507165588311
1363,22.216658672857577,2.4557344667997607,180,6.6730459646488204e-09,6.6730459646488204e-09,5.47779975518784
1412,21.056509201562623,2.0963405338783803,177,4.090860738270287e-09,4.090860738270287e-09,2.686453740970607
1430,21.474428037567556,2.474738707606503,176,4.713366525245115e-09,4.713366525245115e-09,4.255709933765584
1458,19.94861020530448,0.6905626469123864,71,5.75367984382241e-09,5.75367984382241e-09,0.23843838465532066
1463,22.642569418152146,6.080034404981975,175,9.265140140049914e-09,9.265140140049914e-09,41.45032817672429
1464,21.708861563608007,1.530816211249593,142,5.628904315613733e-09,5.628904315613733e-09,1.7382679563125252
1484,20.259032948018895,0.7766261865089524,73,5.67431494134391e-09,5.67431494134391e-09,0.3015741167857191
1516,22.884981057391265,3.413757505731744,177,1.0626034933036561e-08,1.0626034933036561e-08,14.479661956493748
1541,21.918801626726005,0.9001596284690457,172,5.424939068271383e-09,5.424939068271383e-09,0.6350710823303046
1552,22.86229629741217,2.4950401969884726,197,9.946839044653325e-09,9.946839044653325e-09,7.664174953743607
1559,18.921875014775313,0.5035223931849487,42,7.480837510265476e-09,7.480837510265476e-09,0.12676740021934904
1565,20.432392504275438,1.1204899701616124,161,3.820867071695102e-09,3.820867071695102e-09,0.6277488866163856
