0 2.732790e-04 -4.698910e-01 4.942470e+00 1.107330e-23 1.876390e+00 3.924710e+00 1.115240e+00 7.622771e-21 7.796342e-37 1.865245e-07 1.124046e+01 2.383693e+01 1.840987e+01 1.142654e+01 2.359709e+01 4.136103e+01 3.325100e+05 1.370507e+20 -2.481559e+06 3.479141e-14 1.075781e-08 7.946592e-08 3.058557e-07 -4.572489e-22 -2.074703e-01 1.075781e-08 1.305657e+02 -8.038716e-01 -2.589409e+00 -1.526980e-16 -6.876795e+04 7.946592e-08 -8.038716e-01 1.263480e+02 3.450270e+01 -1.292360e-15 -5.864795e+05 3.058557e-07 -2.589409e+00 3.450270e+01 5.681993e+02 -4.263551e-15 -1.934578e+06 -4.572489e-22 -1.526980e-16 -1.292360e-15 -4.263551e-15 6.424437e-30 2.914998e-09 -2.074703e-01 -6.876795e+04 -5.864795e+05 -1.934578e+06 2.914998e-09 1.322640e+12 0.078303
2 4.172022e-04 1.446840e+00 2.017690e+00 3.327090e-23 1.090220e+00 4.810010e+00 8.044490e-01 3.598573e-20 1.138113e-35 2.479612e-08 1.502854e+00 1.286224e+00 3.269313e+00 2.470866e+00 2.782046e+00 7.331982e+00 9.270739e+03 4.245164e+30 3.942538e+04 6.148474e-16 5.431512e-10 7.552978e-10 -4.150740e-09 -8.032623e-24 -3.409208e-04 5.431512e-10 6.105179e+00 5.727129e-02 2.563962e-01 -6.999633e-18 -3.080320e+02 7.552978e-10 5.727129e-02 2.258570e+00 1.623738e-01 -1.327246e-17 -5.631609e+02 -4.150740e-09 2.563962e-01 1.623738e-01 1.654373e+00 5.757043e-17 2.442954e+03 -8.032623e-24 -6.999633e-18 -1.327246e-17 5.757043e-17 1.112985e-31 4.723731e-12 -3.409208e-04 -3.080320e+02 -5.631609e+02 2.442954e+03 4.723731e-12 2.004847e+08 0.667062
3 4.968841e-04 -1.224690e+00 1.257600e+00 2.820370e-23 9.556000e-01 6.155180e-01 1.274760e+00 6.372919e-20 2.997044e-35 1.908662e-08 1.120694e+00 9.385965e-01 3.445873e+00 3.273054e+00 4.035178e+00 8.661730e+00 4.159679e+03 4.993443e+40 -1.964754e+04 3.642991e-16 1.277247e-09 -1.268683e-09 -9.287803e-10 -4.910815e-24 -1.455418e-04 1.277247e-09 1.071288e+01 1.971153e-01 -1.873333e-01 -1.799568e-17 -5.534338e+02 -1.268683e-09 1.971153e-01 1.255956e+00 -2.848201e-01 2.090527e-17 6.189159e+02 -9.287803e-10 -1.873333e-01 -2.848201e-01 8.809635e-01 1.327758e-17 3.939011e+02 -4.910815e-24 -1.799568e-17 2.090527e-17 1.327758e-17 7.027428e-32 2.082717e-12 -1.455418e-04 -5.534338e+02 6.189159e+02 3.939011e+02 2.082717e-12 6.172548e+07 0.884510
4 5.845332e-04 5.580150e-01 4.617280e+00 1.949550e-23 1.134910e+00 2.991030e-01 5.917310e+00 1.538479e-19 1.484724e-34 2.327558e-08 1.238862e+00 2.006773e+00 3.108831e+00 2.283510e+00 3.001630e+00 6.622303e+00 2.071248e+03 1.185641e+50 2.637322e+04 5.417525e-16 -5.288144e-10 -3.062822e-09 -1.973601e-09 -7.169368e-24 -1.888068e-04 -5.288144e-10 5.214418e+00 -2.746778e-03 8.113636e-02 7.800064e-18 1.809510e+02 -3.062822e-09 -2.746778e-03 1.534780e+00 5.914631e-01 4.183022e-17 1.102732e+03 -1.973601e-09 8.113636e-02 5.914631e-01 4.027137e+00 3.267492e-17 8.605079e+02 -7.169368e-24 7.800064e-18 4.183022e-17 3.267492e-17 1.015425e-31 2.674139e-12 -1.888068e-04 1.809510e+02 1.102732e+03 8.605079e+02 2.674139e-12 7.042410e+07 0.617437
6 5.505880e-04 -7.936270e-01 1.593650e+00 2.618850e-23 2.205520e+00 2.610000e+00 6.191200e+00 9.003765e-20 5.398747e-35 2.021276e-08 8.898367e-01 1.072500e+00 3.523913e+00 3.392839e+00 4.309477e+00 9.164050e+00 3.085974e+03 7.742103e+59 -1.326468e+04 4.085559e-16 -1.268280e-09 -2.446204e-09 -7.832041e-10 -5.469030e-24 -1.282995e-04 -1.268280e-09 1.151136e+01 -1.432346e-01 -2.415409e-02 1.846985e-17 4.572711e+02 -2.446204e-09 -1.432346e-01 7.918093e-01 3.115217e-01 3.306716e-17 7.751664e+02 -7.832041e-10 -2.415409e-02 3.115217e-01 1.150256e+00 1.233719e-17 2.892834e+02 -5.469030e-24 1.846985e-17 3.306716e-17 1.233719e-17 7.720277e-32 1.811123e-12 -1.282995e-04 4.572711e+02 7.751664e+02 2.892834e+02 1.811123e-12 4.248773e+07 0.915268
7 1.822198e-04 -6.257740e-01 3.249210e+00 5.057980e-23 2.515150e+00 1.864810e+00 4.516990e+00 1.993748e-21 7.998646e-38 5.212586e-08 3.283476e+00 5.406818e+00 2.997274e+01 4.599853e+01 7.849440e+01 1.571956e+02 3.644092e+05 3.412253e+72 -2.123156e+05 2.717106e-15 1.297698e-08 2.005886e-08 -1.222805e-08 -3.661885e-23 -1.226987e-02 1.297698e-08 2.115865e+03 2.252485e+00 -4.685289e+00 -2.015735e-16 -6.662644e+04 2.005886e-08 2.252485e+00 1.078122e+01 2.517870e+00 -2.697917e-16 -9.039922e+04 -1.222805e-08 -4.685289e+00 2.517870e+00 2.923368e+01 1.755713e-16 5.882701e+04 -3.661885e-23 -2.015735e-16 -2.697917e-16 1.755713e-16 5.278607e-31 1.768702e-10 -1.226987e-02 -6.662644e+04 -9.039922e+04 5.882701e+04 1.768702e-10 5.926385e+10 0.289619
10 1.020189e-03 8.193410e-01 1.530180e+00 3.914420e-23 2.421740e+00 6.289190e-01 4.267210e+00 9.602757e-19 3.314231e-33 4.379419e-09 1.416344e-01 1.500855e-01 1.463260e+00 1.933897e+00 2.933964e+00 5.901258e+00 6.280695e+01 3.629586e+80 3.048347e+02 1.917931e-17 1.444082e-10 1.160528e-10 -2.713691e-11 -2.573151e-25 -6.345286e-07 1.444082e-10 3.739958e+00 4.195497e-03 -1.613636e-02 -2.042490e-18 1.577279e+00 1.160528e-10 4.195497e-03 2.006031e-02 -6.541774e-03 -1.614530e-18 -3.968580e+00 -2.713691e-11 -1.613636e-02 -6.541774e-03 2.252566e-02 4.516645e-19 1.083412e+00 -2.573151e-25 -2.042490e-18 -1.614530e-18 4.516645e-19 3.637536e-33 8.970024e-15 -6.345286e-07 1.577279e+00 -3.968580e+00 1.083412e+00 8.970024e-15 2.213175e+04 4.256246
11 2.891275e-04 -4.009920e-01 4.907500e+00 6.684480e-24 4.115830e-01 2.040080e+00 4.802330e+00 7.674166e-21 7.468689e-37 1.343974e-07 7.815863e+00 1.904641e+01 2.019333e+02 4.831424e+02 1.207929e+03 2.415706e+03 2.385567e+05 1.713213e+92 -1.189379e+06 1.806267e-14 -3.522398e-07 1.073668e-07 -1.235225e-07 -2.379817e-22 -1.510445e-01 -3.522398e-07 2.334266e+05 1.132891e+01 6.560964e+01 4.049318e-15 2.095373e+06 1.073668e-07 1.132891e+01 6.108772e+01 -1.836132e+01 -1.479137e-15 -9.388747e+05 -1.235225e-07 6.560964e+01 -1.836132e+01 3.627657e+02 1.937911e-15 1.229849e+06 -2.379817e-22 4.049318e-15 -1.479137e-15 1.937911e-15 3.351548e-30 2.127195e-09 -1.510445e-01 2.095373e+06 -9.388747e+05 1.229849e+06 2.127195e-09 1.350111e+12 0.109021
12 3.901903e-04 -5.789260e-01 2.713490e+00 4.526080e-23 1.343100e+00 2.646210e-01 4.004190e-01 2.906024e-20 7.935850e-36 2.920483e-08 1.464893e+00 2.515811e+00 2.234142e+00 1.270202e+00 2.401341e+00 5.891762e+00 1.389557e+04 7.610562e+102 -4.097484e+04 8.529223e-16 -3.077662e-10 -4.369874e-09 -7.213475e-09 -1.143183e-23 -4.359760e-04 -3.077662e-10 1.613413e+00 -4.084422e-03 8.835301e-02 5.270551e-18 1.991666e+02 -4.369874e-09 -4.084422e-03 2.145911e+00 -6.318513e-01 5.873306e-17 2.239555e+03 -7.213475e-09 8.835301e-02 -6.318513e-01 6.329306e+00 1.002785e-16 3.824481e+03 -1.143183e-23 5.270551e-18 5.873306e-17 1.002785e-16 1.630613e-31 6.218672e-12 -4.359760e-04 1.991666e+02 2.239555e+03 3.824481e+03 6.218672e-12 2.371616e+08 0.555782
13 4.567323e-04 -3.750410e-01 3.698880e+00 1.163050e-23 1.826870e+00 2.405930e+00 2.057220e+00 3.779465e-20 1.146754e-35 7.631725e-08 3.794622e+00 9.555838e+00 6.728179e+00 3.961526e+00 9.553219e+00 1.602450e+01 2.794714e+04 2.339619e+113 -2.731673e+05 5.824322e-15 -1.599672e-09 3.582668e-08 -4.216394e-08 -7.793802e-23 -7.212185e-03 -1.599672e-09 1.569369e+01 -2.219080e-01 -1.203313e-01 2.820080e-17 2.668847e+03 3.582668e-08 -2.219080e-01 1.439916e+01 2.783479e+00 -4.865647e-16 -4.503465e+04 -4.216394e-08 -1.203313e-01 2.783479e+00 9.131405e+01 6.280036e-16 5.811844e+04 -7.793802e-23 2.820080e-17 -4.865647e-16 6.280036e-16 1.115669e-30 1.032411e-10 -7.212185e-03 2.668847e+03 -4.503465e+04 5.811844e+04 1.032411e-10 9.553673e+09 0.194127
